"Action","Acción"
"Actions","Acciones"
"Add Item","Agregar Registro"
"Add New","Agregar Nueva"
"All Countries","Todos los Países"
"Any","Cualquiera"
"Back","Volver"
"Cancel","Cancelar"
"Code","Código"
"Comment sent.","Comentario enviado."
"Country","País"
"Country Code","Código País"
"Country/States Manager","Administrador País/Región"
"Default Name","Nombre Predeterminado"
"Delete","Eliminar"
"Disable","Deshabilitar"
"Download","Descargar"
"Downloading regions, please wait.","Descargando regiones, espere por favor."
"Edit","Editar"
"Edit Item '%s'","Editar Registro '%s'"
"Enable","Habilitar"
"Enabled","Habilitado"
"Get Regions","Obtener Regiones"
"Get Regions From API","Obtener Regiones desde la API"
"items selected","items seleccionados"
"Item Manager","Administrador de registro"
"Item was successfully saved","El registro se guardo exitosamente"
"Locale ","Idioma "
"Page","Página"
"per page","por página"
"Please fill the required fields","Por favor, complete los campos requeridos"
"Please select items.","Por favor, seleccione registros."
"Please select region(s).","Por favor, seleccione una región"
"of %s pages","de %s páginas"
"Name","Nombre"
"No","No"
"Region Code","Código Región"
"Region code must be unique.","Código de región debe ser único."
"Region does not exist","La región no existe"
"Regions added Successfully","Regiones agregadas con éxito"
"Reset","Limpiar"
"Reset Filter","Limpiar Filtro"
"Save","Guardar"
"Save Item","Guardar Registro"
"Search","Buscar"
"Searching country regions, please wait.","Buscando regiones de países, espere por favor."
"Select Visible","Seleccione Visible"
"Sending comment, please wait.","Enviando comentario, por favor espere."
"State Information","Información Estado/Región"
"State/Country combination must be unique","La combinación País/Región debe ser única"
"Submit","Enviar"
"Total %d records found","Total %d registros encontrados"
"Total of %d record(s) were deleted.","Se borraron %d registro(s)."
"Total of %d record(s) were disabled.","Se deshabilitaron %d registro(s)."
"Total of %d record(s) were enabled.","Se habilitaron %d registro(s)."
"Unable to Save.","No se pudo guardar."
"Unselect Visible","Deseleccionar Visible"
"Value can not be empty.","El valor no puede estar vacío."
"View","Ver"
"Yes","Si"
